                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.93097,                0.61915,                 1.1556,                0.84595,                0.91611,                0.91717,                0.59837,                 1.0534,                0.59102,                 1.1701,             0.00060505,             0.00060505,             0.00060505
                     49,                0.89298,                0.59248,                 1.1538,                0.83644,                0.88848,                0.88333,                0.57491,                 1.0492,                0.59599,                 1.1786,             0.00059405,             0.00059405,             0.00059405
                     50,                0.90436,                 0.6023,                 1.1515,                0.88404,                0.87894,                0.90406,                0.60625,                 1.0253,                0.55711,                 1.1659,             0.00058305,             0.00058305,             0.00058305
                     51,                0.88506,                0.57325,                 1.1464,                0.85286,                0.88145,                0.87612,                0.59613,                 1.0123,                0.56449,                 1.1495,             0.00057205,             0.00057205,             0.00057205
                     52,                 0.8801,                0.57778,                 1.1427,                0.86584,                0.92222,                0.91546,                0.60505,                  1.026,                0.56552,                 1.1485,             0.00056105,             0.00056105,             0.00056105
                     53,                0.87759,                0.57702,                 1.1398,                 0.8989,                0.91551,                0.93414,                0.62102,                  1.027,                0.56145,                  1.153,             0.00055006,             0.00055006,             0.00055006
                     54,                0.88727,                0.57579,                 1.1435,                0.84582,                0.87163,                0.88975,                0.60421,                 1.0359,                0.57631,                  1.153,             0.00053906,             0.00053906,             0.00053906
                     55,                0.88101,                0.57721,                 1.1421,                0.85494,                0.91702,                0.90588,                 0.6116,                 1.0207,                0.55953,                 1.1463,             0.00052806,             0.00052806,             0.00052806
                     56,                0.88391,                0.57432,                 1.1466,                0.85511,                0.89996,                 0.9049,                0.60222,                 1.0544,                0.56372,                 1.1603,             0.00051706,             0.00051706,             0.00051706
                     57,                0.88493,                0.57327,                 1.1353,                0.90413,                  0.888,                0.93034,                 0.6096,                 1.0418,                0.54519,                 1.1565,             0.00050606,             0.00050606,             0.00050606
                     58,                0.87892,                0.57534,                 1.1391,                0.88693,                0.90824,                0.91928,                0.61544,                 1.0256,                0.54151,                 1.1576,             0.00049506,             0.00049506,             0.00049506
                     59,                0.85616,                0.55127,                 1.1214,                 0.8942,                0.92039,                0.92308,                0.60812,                 1.0172,                0.55137,                 1.1435,             0.00048406,             0.00048406,             0.00048406
                     60,                0.88026,                0.57454,                 1.1452,                0.93523,                0.90113,                0.93634,                0.62411,                 1.0128,                0.54587,                  1.138,             0.00047306,             0.00047306,             0.00047306
                     61,                0.86216,                0.56704,                 1.1353,                  0.898,                0.91637,                0.92765,                0.62443,                 1.0072,                0.53964,                 1.1369,             0.00046206,             0.00046206,             0.00046206
                     62,                0.85029,                0.56245,                 1.1367,                 0.8602,                0.91827,                0.90931,                0.62548,                0.98876,                0.54513,                 1.1323,             0.00045107,             0.00045107,             0.00045107
                     63,                0.84062,                0.54695,                  1.129,                0.91968,                0.89812,                0.92778,                0.62884,                0.99917,                0.52972,                 1.1514,             0.00044007,             0.00044007,             0.00044007
                     64,                0.86548,                0.56788,                 1.1303,                0.89731,                0.88942,                0.91042,                0.62199,                 1.0232,                0.54001,                 1.1557,             0.00042907,             0.00042907,             0.00042907
                     65,                 0.8493,                0.54354,                 1.1218,                0.86669,                0.91455,                0.91098,                0.61856,                 1.0211,                0.53297,                  1.142,             0.00041807,             0.00041807,             0.00041807
                     66,                 0.8531,                0.54476,                 1.1213,                0.91328,                0.90683,                0.92108,                0.62392,                 1.0033,                0.52828,                 1.1413,             0.00040707,             0.00040707,             0.00040707
                     67,                0.85035,                0.54164,                 1.1229,                0.87023,                0.89527,                0.89411,                 0.6101,                 1.0022,                0.55552,                 1.1407,             0.00039607,             0.00039607,             0.00039607
                     68,                0.83598,                0.52837,                 1.1184,                0.86792,                0.90513,                0.92185,                0.61993,                0.99548,                0.53772,                 1.1394,             0.00038507,             0.00038507,             0.00038507
                     69,                0.84903,                0.54547,                 1.1188,                0.89186,                0.91025,                0.93897,                0.64048,                0.98923,                0.52058,                  1.129,             0.00037407,             0.00037407,             0.00037407
                     70,                0.83775,                0.53175,                 1.1187,                0.89202,                0.90358,                0.93085,                 0.6357,                 1.0061,                0.52622,                 1.1355,             0.00036307,             0.00036307,             0.00036307
                     71,                0.83157,                0.52851,                 1.1183,                0.90706,                0.91834,                0.93907,                0.62525,                  1.009,                0.52591,                 1.1429,             0.00035208,             0.00035208,             0.00035208
                     72,                0.83443,                0.52973,                 1.1025,                0.87402,                0.90045,                0.91213,                0.62851,                 1.0001,                0.51679,                 1.1327,             0.00034108,             0.00034108,             0.00034108
                     73,                0.82229,                0.51881,                 1.1127,                0.89912,                0.91278,                0.92322,                0.62909,                 1.0142,                0.50555,                 1.1312,             0.00033008,             0.00033008,             0.00033008
                     74,                0.83126,                0.52001,                 1.1048,                0.92282,                0.90053,                0.92909,                0.61872,                 1.0072,                 0.5085,                 1.1363,             0.00031908,             0.00031908,             0.00031908
                     75,                0.80144,                0.51254,                  1.099,                 0.9119,                0.91185,                0.93192,                0.63489,                0.98651,                0.51096,                 1.1296,             0.00030808,             0.00030808,             0.00030808
                     76,                0.82091,                0.50883,                 1.1087,                0.87855,                0.90698,                0.91738,                0.63414,                0.99065,                0.51012,                 1.1387,             0.00029708,             0.00029708,             0.00029708
                     77,                0.83083,                0.51689,                 1.1194,                0.89875,                 0.9134,                0.92183,                0.63759,                0.99279,                0.50248,                 1.1305,             0.00028608,             0.00028608,             0.00028608
